IARA ID,Dataset,Rain,Temperature,Wind,Sea state,Rain state
1446,E,0,23.1,2.1,1,No rain
1447,E,0,23.3,5.9,3,No rain
1448,E,0,22.7,3.3,2,No rain
1449,E,0,23.3,4.1,2,No rain
1450,E,0,25.8,4,2,No rain
1451,E,0,27.9,4.4,2,No rain
1452,E,0,24.3,5.5,3,No rain
1453,E,0,23.5,9.2,4,No rain
1454,E,0,24.9,2.8,2,No rain
1455,E,0,24.1,3,2,No rain
1456,E,0,21.5,2.9,2,No rain
1457,E,0,28.8,2.9,2,No rain
1458,E,0,26.7,3.3,2,No rain
1459,E,0,26.8,7.3,4,No rain
1460,E,0,25.4,7.4,4,No rain
1461,E,0,25.3,2.1,1,No rain
1462,E,0,26.7,7.9,4,No rain
1463,E,0,25.2,5.5,3,No rain
1464,E,0,24.6,3.2,2,No rain
1465,E,0,24.3,3.6,2,No rain
1466,E,0,24.3,1.7,1,No rain
1467,E,0,24.9,2,1,No rain
1468,E,0,24.4,3.5,2,No rain
1469,E,0,25.2,8.5,4,No rain
1470,E,0,24.7,8.2,4,No rain
1471,E,0,24.8,7.8,4,No rain
1472,E,0,24.2,6.7,3,No rain
1473,E,0,25.5,6.3,3,No rain
1474,E,0,18.9,10.2,5,No rain
1475,E,0,20.2,13.6,6,No rain
1476,E,0,20.1,20,7,No rain
1477,E,0,22.2,1.6,1,No rain
1478,E,0,22.4,2.5,1,No rain
1479,E,0,22.2,3.6,2,No rain
1480,E,0,21,7.3,4,No rain
1481,E,0,17.3,15.1,6,No rain
1482,E,0,21.5,16.4,6,No rain
1483,E,0,17.2,10.1,5,No rain
1484,E,0,29.8,4.9,3,No rain
1485,E,0,24,15.7,6,No rain
1486,E,0,23.8,13.5,6,No rain
1487,E,0,24.8,11.3,5,No rain
1488,E,0,25.2,5.1,3,No rain
1489,E,0,28.2,4.6,3,No rain
1490,E,0,29.1,7.8,4,No rain
1491,E,0,28.7,7,4,No rain
1492,E,0,28.8,5.5,3,No rain
1493,E,0,27.8,4.9,3,No rain
1494,E,0,27.6,4.6,3,No rain
1495,E,0,25.9,4.2,2,No rain
1496,E,0,25,10.1,5,No rain
1497,E,0,24.5,7.1,4,No rain
1498,E,0,23.6,4.8,3,No rain
1499,E,0,23.2,4.7,3,No rain
1500,E,0,25.7,1.8,1,No rain
1501,E,0,26.4,5.7,3,No rain
1502,E,0,24,4.4,2,No rain
1503,E,0,23.2,2.9,2,No rain
1504,E,0,23.1,2.8,2,No rain
1505,E,0,25.4,1.3,1,No rain
1506,E,0,27,4.6,3,No rain
1507,E,0,23.6,1.4,1,No rain
1508,E,0,23.7,2.5,1,No rain
1509,E,0,25.5,10.1,5,No rain
1510,E,0,23.2,8.4,4,No rain
1511,E,0,24,6.1,3,No rain
1512,E,0,23.2,10.6,5,No rain
1513,E,0,22.9,4.8,3,No rain
1514,E,0,21.5,2.1,1,No rain
1515,E,0,20.9,2.1,1,No rain
1516,E,0,27.6,9.2,4,No rain
1517,E,0,25.4,13.1,6,No rain
1518,E,0,24.9,8.2,4,No rain
1519,E,0,24,4.7,3,No rain
1520,E,0,26.1,11.3,5,No rain
1521,E,0,24.1,3.4,2,No rain
1522,E,0,20.3,5.5,3,No rain
1523,E,0,20,10.2,5,No rain
1524,E,0,24.2,1.5,1,No rain
1525,E,0,22.2,11.1,5,No rain
1526,E,0,20.7,1.4,1,No rain
1527,E,0,22.1,12.9,6,No rain
1528,E,0,21.1,14.3,6,No rain
1529,E,0,21.7,13.2,6,No rain
1530,E,0,22.5,13.6,6,No rain
1531,E,0,18.6,19.3,6,No rain
1532,E,0,20.8,11.8,5,No rain
1533,E,0,24.2,11.7,5,No rain
1534,E,0,20.4,10.2,5,No rain
1535,E,0,20.3,10.1,5,No rain
1536,E,0,21.2,2.4,1,No rain
1537,E,0,22.7,12.3,5,No rain
1538,E,0,21.9,15.5,6,No rain
1539,E,0,21.7,11.2,5,No rain
1540,E,0,23.6,16.7,6,No rain
1541,E,0,21.5,10.8,5,No rain
1542,E,0,23,4.4,2,No rain
1543,E,0,22.6,6.3,3,No rain
1544,E,0,23.9,14.6,6,No rain
1545,E,0,24.4,17.8,6,No rain
1546,E,0,23.8,2.3,1,No rain
1547,E,0,24,4.6,3,No rain
1548,E,0,26.3,3,2,No rain
1549,E,0,23.9,3,2,No rain
1550,E,0,23.9,7.7,4,No rain
1551,E,0,22.9,4,2,No rain
1552,E,0,25.8,8.7,4,No rain
1553,E,0,25.2,2.2,1,No rain
1554,E,0,23.3,7.5,4,No rain
1555,E,0,29.1,7.2,4,No rain
1556,E,0,25.8,7.4,4,No rain
1557,E,0,24.6,11.5,5,No rain
1558,E,0,23.1,15.2,6,No rain
1559,E,0,23.2,15.9,6,No rain
1560,E,0,22.2,1.4,1,No rain
1561,E,0,23.3,6.7,3,No rain
1562,E,0,20.1,3.7,2,No rain
1563,E,0,19.4,2.2,1,No rain
1564,E,0,18.5,8.3,4,No rain
1565,E,0,21.4,2,1,No rain
1566,E,0,21.2,9.6,4,No rain
1567,E,0,19.9,10,5,No rain
1568,E,0,18.4,10.5,5,No rain
1569,E,0,19.3,12.7,6,No rain
1570,E,0,18.9,11.9,5,No rain
1571,E,0,18.4,11.9,5,No rain
1572,E,0,18.2,2.3,1,No rain
1573,E,0,21.7,5.3,3,No rain
1574,E,0,17.5,12.4,5,No rain
1575,E,0,17.4,16.9,6,No rain
1576,E,0,16.6,10.1,5,No rain
1577,E,0,16,3.4,2,No rain
1578,E,0,16.3,2.5,1,No rain
1579,E,0,19.1,8.3,4,No rain
1580,E,0,20.9,13.5,6,No rain
1581,E,0,17.6,15.8,6,No rain
1582,E,0,24,13.4,6,No rain
1583,E,0,22.1,7.9,4,No rain
1584,E,0,21.7,8.8,4,No rain
1585,E,0,21.1,5.7,3,No rain
1586,E,0,19.9,2.4,1,No rain
1587,E,0,20.8,6.7,3,No rain
1588,E,0,21.6,3.9,2,No rain
1589,E,0,21.9,14.4,6,No rain
1590,E,0,22,10.7,5,No rain
1591,E,0,21.5,2.2,1,No rain
1592,E,0,20.9,9.4,4,No rain
1593,E,0,20.3,12.4,5,No rain
1594,E,0,19.3,15.5,6,No rain
1595,E,0,25.8,15.9,6,No rain
1596,E,0.4,24.6,2.9,2,Light
1597,E,0.4,19,9.1,4,Light
1598,E,1.6,19.1,6,3,Moderate
1599,E,0.6,20.4,7,4,Light
1600,E,0.4,22.8,3.9,2,Light
1601,E,0.6,18.5,15.5,6,Light
1602,E,0.6,16,5.2,3,Light
1603,E,0.6,23.7,5.8,3,Light
1604,E,0.2,23.8,4.9,3,Light
1605,E,0.6,19.1,3.1,2,Light
1606,E,0.2,21.3,3.4,2,Light
1607,E,0.2,23.7,6,3,Light
1608,E,3,23.8,4.2,2,Moderate
1609,E,8,20,9.2,4,Heavy
1610,E,5.6,19.2,5.4,3,Heavy
1611,E,0.4,23.2,5,3,Light
1612,E,0.4,21.2,9.5,4,Light
1613,E,0.2,18.9,17.1,6,Light
1614,E,0.2,18.7,10.1,5,Light
1615,E,0.6,19.4,11,5,Light
1616,E,0.4,19.1,9.8,4,Light
1617,E,0.2,19.9,3.8,2,Light
1618,E,0.2,22.4,3.9,2,Light
1619,E,2,23.1,14.5,6,Moderate
1620,E,0.8,23.4,4,2,Light
1621,E,1.4,23.3,4.1,2,Moderate
1622,E,0.2,19.4,8.6,4,Light
1623,E,2.6,18.6,8.3,4,Moderate
1624,E,4.4,18.5,6.4,3,Moderate
1625,E,0.2,19.4,9.1,4,Light
1626,E,0.6,18.4,11.7,5,Light
1627,E,8.2,18.8,18.5,6,Heavy
1628,E,2.4,18.7,9,4,Moderate
1629,E,0.2,19.7,6.9,3,Light
1630,E,0.2,23.5,6.2,3,Light
1631,E,0.4,23.3,4,2,Light
1632,E,0.2,23.8,8.4,4,Light
1633,E,0.8,22.8,1.9,1,Light
1634,E,30,22.6,16.9,6,Very heavy
1635,E,1.4,17.9,9.4,4,Moderate
1636,E,0.4,19.5,11.4,5,Light
1637,E,0.2,23.4,8,4,Light
1638,E,7,22.1,8.5,4,Heavy
1639,E,1.4,16.3,14.6,6,Moderate
1640,E,0.8,21.4,5.3,3,Light
1641,E,1.6,23.8,6.6,3,Moderate
1642,E,2.8,18.2,7,4,Moderate
1643,E,0.8,23.3,6,3,Light
1644,E,5.2,19.9,7.3,4,Heavy
1645,E,10.6,18.1,14.5,6,Very heavy
1646,E,6.2,23.3,8.8,4,Heavy
1647,E,3,19.7,3.9,2,Moderate
1648,E,14.8,19.7,6.4,3,Very heavy
1649,E,0.4,19.4,2.8,2,Light
1650,E,0.4,23.2,9.4,4,Light
1651,E,0.4,21.7,9,4,Light
1652,E,0.2,22.7,18.8,6,Light
1653,E,1.4,23.8,3.6,2,Moderate
1654,E,0.2,22.8,5.2,3,Light
1655,E,0.2,19.8,10.9,5,Light
1656,E,0.2,21.3,6.8,3,Light
1657,E,0.4,21,8,4,Light
1658,E,0.6,22.4,9.4,4,Light
1659,E,0.2,19.4,3.4,2,Light
1660,E,0.2,22.6,8.5,4,Light
1661,E,0.4,18.8,7.4,4,Light
1662,E,0.6,19.7,8.7,4,Light
1663,E,5.8,20.5,4.5,3,Heavy
1664,E,0.4,20.2,15.9,6,Light
1665,E,0.2,22.9,1.6,1,Light
1666,E,3.2,17.8,10.6,5,Moderate
1667,E,1.6,22.2,3,2,Moderate
1668,E,0.4,21.5,2.7,2,Light
1669,E,0.6,22.4,2.6,2,Light
1670,E,0.4,19.3,9.4,4,Light
1671,E,0.4,22.1,12.8,6,Light
1672,E,3.2,16.8,11,5,Moderate
1673,E,5,22.3,3.2,2,Moderate
1674,E,3.2,18.7,4.7,3,Moderate
1675,E,1.6,23.1,6.4,3,Moderate
1676,E,0.6,21.8,6.3,3,Light
1677,E,1.8,19,12.2,5,Moderate
1678,E,3.6,23.2,14.3,6,Moderate
1679,E,0.2,23,6.3,3,Light
1680,E,1.6,15.9,10.1,5,Moderate
1681,E,0.2,21.7,5.4,3,Light
1682,E,0.4,21,7.9,4,Light
1683,E,1.2,19.7,7.9,4,Moderate
1684,E,0.2,31.2,12.5,5,Light
1685,E,0.6,23.3,2.6,2,Light
1686,E,2.8,21.5,5.6,3,Moderate
1687,E,0.4,21,6.3,3,Light
1688,E,0.2,19.2,5.6,3,Light
1689,E,0.6,17,3.2,2,Light
1690,E,0.4,21.5,7.2,4,Light
1691,E,9.8,22.4,3.8,2,Heavy
1692,E,1.2,22.8,5,3,Moderate
1693,E,0.2,20.3,4.2,2,Light
1694,E,0.8,23.9,4.5,3,Light
1695,E,0.2,18.9,7,4,Light
1696,E,0.6,23.9,11.7,5,Light
1697,E,0.8,18.8,4.1,2,Light
1698,E,0.2,21.8,2.4,1,Light
1699,E,1.2,23.1,6.6,3,Moderate
1700,E,0.2,25.2,6.9,3,Light
1701,E,0.8,16.7,5,3,Light
1702,E,9.2,23.6,4.2,2,Heavy
1703,E,1.2,18.4,14.9,6,Moderate
1704,E,0.2,21.7,7.2,4,Light
1705,E,2.6,23.5,3.2,2,Moderate
1706,E,0,21.3,1.8,1,No rain
